Transaction_ID,User_ID,Transaction_Amount,Account_Age_Months,Number_of_Transactions_Last_24H,Previous_Fraudulent_Transactions,Device_Used,Location,Payment_Method,Transaction_Type,Fraudulent
111,1461,73.97429723512693,105,3,2,Desktop,India,Credit Card,Transfer,0
112,1726,80.51498464941216,47,6,4,Unknown,USA,Debit Card,Transfer,0
113,1251,76.30424303044524,18,4,4,Mobile,USA,Bank Transfer,Transfer,0
114,1701,65.44036921280735,21,18,2,Unknown,India,Bank Transfer,Transfer,0
115,1295,101.94086511779308,13,9,1,Mobile,UK,Bank Transfer,Transfer,0
116,1724,66.76199534355848,21,17,3,Desktop,Germany,Crypto,Transfer,0
117,1719,110.81827303119356,8,13,0,Unknown,Germany,Debit Card,Transfer,1
118,1748,97.99047562203452,46,15,3,Desktop,India,Bank Transfer,Withdrawal,0
119,1337,90.44207812534361,104,17,0,Unknown,UK,Crypto,Withdrawal,0
120,1878,63.69745351833608,110,13,0,Mobile,USA,Debit Card,Transfer,0
121,1052,76.9291467772667,7,16,4,Mobile,Unknown,Debit Card,Transfer,1
122,1791,130.21564903303025,23,4,0,Unknown,Unknown,Crypto,Withdrawal,0
123,1921,120.03668750497523,108,5,0,Mobile,India,Debit Card,Withdrawal,0
124,1216,60.897790208057955,96,5,2,Desktop,UK,Crypto,Withdrawal,0
125,1763,103.97329221716903,75,9,3,Desktop,UK,Bank Transfer,Transfer,0
126,1187,130.05548493487157,86,17,2,Tablet,Germany,Crypto,Purchase,0
127,1379,33.22378875514514,22,13,0,Mobile,USA,Debit Card,Purchase,0
128,1492,121.7344076951974,107,2,4,Desktop,UK,Bank Transfer,Purchase,0
129,1040,73.49504964216614,89,13,2,Unknown,Unknown,Bank Transfer,Purchase,0
130,1156,122.82394674372637,22,19,2,Mobile,USA,Credit Card,Transfer,0
131,1014,69.46963373829932,92,3,1,Desktop,USA,Credit Card,Purchase,0
132,1812,27.804715973419235,29,10,0,Mobile,India,Debit Card,Withdrawal,0
133,1064,34.89830248467349,13,2,4,Unknown,UK,Crypto,Withdrawal,0
134,1856,101.92339786645528,82,13,2,Desktop,India,Crypto,Purchase,0
135,1838,110.38890006885927,2,19,2,Tablet,UK,Debit Card,Withdrawal,0
136,1520,63.827334995823655,29,17,4,Tablet,Germany,Bank Transfer,Transfer,0
137,1343,125.54369835109496,85,14,0,Mobile,India,Debit Card,Purchase,0
138,1128,33.5391975092416,79,12,1,Unknown,India,Debit Card,Purchase,0
139,1647,97.35680805410733,52,12,2,Desktop,Unknown,Bank Transfer,Transfer,0
140,1471,51.55935200950174,27,11,1,Unknown,India,Crypto,Withdrawal,0
141,1062,73.92655568791363,50,7,3,Desktop,UK,Debit Card,Transfer,0
142,1138,101.89594685265656,95,4,0,Mobile,Unknown,Crypto,Transfer,0
143,1498,65.58346538864191,79,19,3,Desktop,India,Debit Card,Withdrawal,0
144,1592,84.61777823080699,115,1,3,Unknown,India,Bank Transfer,Transfer,0
145,1391,140.2517123685776,23,3,3,Unknown,Germany,Bank Transfer,Withdrawal,0
146,1674,76.92432521907405,88,13,0,Mobile,India,Credit Card,Withdrawal,0
147,1418,133.42768448260568,44,15,0,Unknown,USA,Bank Transfer,Transfer,0
148,1288,54.811725813695276,77,2,4,Desktop,Unknown,Credit Card,Withdrawal,0
149,1378,121.19216711661132,22,11,1,Mobile,USA,Debit Card,Transfer,0
150,1772,157.66274482631601,43,4,1,Desktop,Unknown,Crypto,Withdrawal,0
151,1489,10.0,37,19,4,Unknown,Germany,Bank Transfer,Purchase,0
152,1230,68.12418978118093,61,17,4,Mobile,India,Bank Transfer,Withdrawal,0
153,1040,123.0828850872216,97,3,3,Desktop,India,Bank Transfer,Withdrawal,0
154,1027,91.8781845582803,56,18,4,Unknown,India,Debit Card,Transfer,1
155,1134,114.84583493485235,3,8,2,Unknown,Unknown,Credit Card,Withdrawal,0
156,1200,75.84059253136718,63,19,1,Tablet,India,Debit Card,Purchase,0
157,1839,103.463591498916,118,5,4,Unknown,USA,Crypto,Purchase,0
158,1779,93.77291058431682,19,7,2,Desktop,India,Debit Card,Withdrawal,0
159,1929,146.71128246639228,23,8,2,Mobile,Germany,Crypto,Withdrawal,0
160,1032,110.17683373204852,29,5,2,Tablet,USA,Bank Transfer,Purchase,0
161,1047,113.50410648300809,30,17,2,Unknown,India,Crypto,Transfer,0
162,1502,83.5249213551013,39,5,3,Unknown,India,Crypto,Purchase,0
163,1406,80.49575103710026,108,4,2,Unknown,UK,Credit Card,Purchase,0
164,1573,82.69767248721516,111,19,3,Desktop,Unknown,Crypto,Withdrawal,0
165,1727,115.77808569513188,25,2,3,Tablet,USA,Crypto,Withdrawal,0
166,1804,83.16062076718949,101,11,2,Desktop,UK,Debit Card,Purchase,0
167,1098,111.59099427585652,111,13,1,Tablet,Germany,Bank Transfer,Transfer,0
168,1683,183.01603194581756,8,15,2,Mobile,Unknown,Debit Card,Purchase,0
169,1871,134.8449881372677,106,12,2,Desktop,USA,Debit Card,Purchase,0
170,1725,86.95905871328635,58,11,2,Desktop,India,Bank Transfer,Transfer,0
171,1986,148.04855688655778,16,7,1,Mobile,USA,Bank Transfer,Purchase,0
172,1546,83.67698507913795,72,5,0,Tablet,India,Crypto,Purchase,0
173,1960,18.475018592885846,1,17,0,Unknown,Unknown,Crypto,Withdrawal,0
174,1738,59.676547563303835,108,9,3,Mobile,India,Credit Card,Transfer,0
175,1612,25.168323158965777,5,14,3,Unknown,Germany,Debit Card,Withdrawal,1
176,1942,85.93946063834765,3,12,1,Unknown,India,Bank Transfer,Withdrawal,0
177,1461,100.73673516758207,65,6,4,Mobile,Germany,Crypto,Transfer,0
178,1642,167.05749249101132,4,17,0,Tablet,Unknown,Bank Transfer,Transfer,0
179,1768,113.0770949505665,104,19,3,Unknown,Unknown,Crypto,Purchase,0
180,1004,91.23597884764543,99,19,0,Mobile,USA,Credit Card,Withdrawal,0
181,1217,133.17622324733958,96,16,1,Desktop,Germany,Credit Card,Transfer,0
182,1502,11.554587639684598,64,12,1,Desktop,Germany,Bank Transfer,Withdrawal,0
183,1766,109.42458232434264,106,12,4,Desktop,UK,Credit Card,Withdrawal,0
184,1397,130.83460775547866,98,6,4,Mobile,UK,Bank Transfer,Transfer,0
185,1870,40.856550168806336,107,4,1,Desktop,UK,Crypto,Purchase,0
186,1794,145.75016172827716,89,6,3,Unknown,India,Debit Card,Withdrawal,0
187,1392,113.53985629977656,10,11,0,Desktop,UK,Credit Card,Transfer,0
188,1206,83.38848344396794,21,1,2,Desktop,Germany,Crypto,Purchase,0
189,1014,125.3112746442514,46,15,4,Unknown,India,Debit Card,Withdrawal,0
190,1857,190.82771431217583,103,11,2,Desktop,Unknown,Debit Card,Transfer,0
191,1553,107.27465020233981,91,19,3,Unknown,USA,Debit Card,Withdrawal,0
192,1891,109.92882345201345,27,18,4,Desktop,UK,Crypto,Transfer,0
193,1460,81.62556401839024,66,17,2,Unknown,Unknown,Crypto,Transfer,0
194,1690,66.00622522140833,41,19,3,Desktop,Germany,Bank Transfer,Withdrawal,0
195,1574,133.21343266176982,112,14,0,Unknown,USA,Debit Card,Withdrawal,0
196,1863,65.75664696364531,13,18,3,Mobile,Unknown,Debit Card,Transfer,0
197,1742,102.8626494887757,9,19,4,Unknown,USA,Debit Card,Purchase,1
198,1240,80.89370212939534,116,15,1,Desktop,UK,Bank Transfer,Withdrawal,0
199,1563,119.15919302985567,36,15,0,Desktop,Germany,Debit Card,Transfer,0
200,1095,113.34648421147793,86,4,2,Tablet,USA,Crypto,Transfer,0
201,1899,141.50159777031598,106,7,4,Unknown,Unknown,Debit Card,Purchase,0
202,1733,79.59934404581011,90,13,1,Mobile,UK,Credit Card,Purchase,0
203,1484,89.20500258826515,58,3,3,Unknown,UK,Crypto,Purchase,0
204,1406,60.849451368707705,54,16,1,Unknown,Unknown,Bank Transfer,Withdrawal,0
205,1230,82.22826959695553,12,9,4,Mobile,Unknown,Debit Card,Transfer,0
206,1748,115.09201972179409,81,8,4,Unknown,USA,Credit Card,Transfer,0
207,1654,130.2795446658141,78,13,1,Mobile,India,Bank Transfer,Transfer,0
208,1170,63.113387032894984,14,17,3,Mobile,UK,Bank Transfer,Purchase,0
209,1540,134.7842368042264,34,17,1,Unknown,USA,Crypto,Transfer,0
210,1035,154.22551435219805,53,17,4,Unknown,Unknown,Bank Transfer,Withdrawal,0
211,1524,116.53739612894803,20,1,4,Desktop,USA,Bank Transfer,Purchase,0
212,1159,175.07183250232265,75,8,2,Desktop,Unknown,Bank Transfer,Purchase,0
213,1838,69.04843203585708,16,19,2,Tablet,Germany,Bank Transfer,Purchase,0
214,1698,50.21381186754332,115,6,0,Tablet,Unknown,Debit Card,Purchase,0
215,1242,28.85119004382885,95,3,4,Unknown,Unknown,Debit Card,Withdrawal,0
216,1085,159.84177245956732,119,5,2,Mobile,Unknown,Debit Card,Transfer,0
217,1795,126.1746262541623,70,13,1,Tablet,India,Debit Card,Withdrawal,0
218,1577,97.7766131635818,56,15,3,Unknown,Unknown,Credit Card,Transfer,1
219,1681,111.19874505279282,83,14,1,Tablet,UK,Debit Card,Withdrawal,0
220,1556,54.98043810806494,101,16,3,Mobile,UK,Bank Transfer,Purchase,0
221,1573,197.83007918467305,58,18,2,Unknown,USA,Debit Card,Purchase,0
222,1952,105.1688472790091,4,11,0,Mobile,India,Debit Card,Withdrawal,0
223,1645,104.37579178419571,111,3,1,Unknown,USA,Crypto,Withdrawal,0
224,1795,129.03066495594769,4,10,1,Tablet,UK,Bank Transfer,Transfer,0
225,1027,119.24036926946853,20,10,1,Desktop,UK,Debit Card,Withdrawal,0
226,1619,108.95536097116525,10,16,3,Tablet,Germany,Debit Card,Withdrawal,1
227,1555,68.38102178218753,24,12,2,Tablet,Unknown,Debit Card,Transfer,0
228,1339,118.85873428543982,118,2,1,Desktop,UK,Credit Card,Transfer,0
229,1797,175.28097985900135,99,9,1,Desktop,USA,Debit Card,Transfer,0
230,1957,153.8168018461991,26,3,0,Unknown,USA,Crypto,Withdrawal,0
231,1330,163.72746506557587,37,15,0,Unknown,Unknown,Bank Transfer,Transfer,0
232,1639,79.5513729427526,102,3,2,Mobile,Unknown,Bank Transfer,Purchase,0
233,1505,60.41580718965677,85,19,2,Mobile,Germany,Debit Card,Purchase,0
234,1347,94.96852319601408,54,18,4,Tablet,India,Debit Card,Purchase,0
235,1472,102.22899649154779,104,8,0,Desktop,USA,Debit Card,Withdrawal,0
236,1230,143.76766073883795,103,17,4,Mobile,Unknown,Bank Transfer,Purchase,0
237,1189,32.30141481140723,21,8,3,Tablet,USA,Bank Transfer,Withdrawal,0
238,1224,161.18201277842456,74,7,4,Desktop,Unknown,Credit Card,Withdrawal,0
239,1384,93.67968405684043,38,7,1,Unknown,UK,Crypto,Purchase,0
240,1376,82.9247572021032,46,3,4,Tablet,USA,Credit Card,Transfer,0
241,1282,59.5158249895933,4,1,2,Unknown,UK,Crypto,Withdrawal,0
242,1957,33.80573312536923,60,4,3,Mobile,USA,Credit Card,Purchase,0
243,1632,132.92682335847658,57,5,1,Mobile,India,Bank Transfer,Withdrawal,0
244,1627,102.93271868753615,45,1,4,Desktop,Germany,Credit Card,Transfer,0
245,1972,48.401564010357845,20,15,3,Tablet,UK,Crypto,Transfer,0
246,1744,48.19684911745536,17,5,3,Unknown,Unknown,Debit Card,Purchase,0
247,1258,86.56861202839487,119,13,1,Desktop,India,Crypto,Withdrawal,0
248,1358,166.7608610115757,71,8,4,Mobile,USA,Debit Card,Withdrawal,0
249,1709,89.6163459454558,4,8,3,Mobile,UK,Bank Transfer,Withdrawal,0
250,1455,39.874281875275756,93,5,3,Tablet,USA,Crypto,Withdrawal,0
251,1410,90.17027743656223,14,9,0,Unknown,USA,Credit Card,Purchase,0
252,1648,89.09105721009318,3,1,3,Tablet,USA,Crypto,Transfer,0
253,1317,10.0,88,4,0,Unknown,Germany,Debit Card,Purchase,0
254,1676,97.8282053392875,101,3,4,Unknown,Germany,Bank Transfer,Withdrawal,0
255,1224,90.76261879165288,80,2,4,Tablet,Unknown,Credit Card,Withdrawal,0
256,1818,127.84825459253673,58,8,4,Desktop,UK,Crypto,Transfer,0
257,1233,173.9582437978138,55,9,2,Tablet,India,Debit Card,Withdrawal,0
258,1683,145.06260118191028,116,2,4,Tablet,India,Credit Card,Purchase,0
259,1663,89.24445237780678,4,14,3,Mobile,India,Bank Transfer,Purchase,1
260,1974,55.73896365033319,24,14,1,Mobile,USA,Credit Card,Transfer,0
261,1826,202.93439212999442,34,4,0,Tablet,Germany,Bank Transfer,Purchase,0
262,1373,102.36873736057953,30,6,2,Tablet,UK,Credit Card,Purchase,0
263,1671,100.55717167651785,82,11,4,Mobile,USA,Crypto,Purchase,0
264,1607,99.03499651559987,19,3,4,Unknown,Germany,Debit Card,Purchase,0
265,1471,107.92339043071419,31,8,1,Tablet,Germany,Crypto,Withdrawal,0
266,1232,94.2255835230423,60,3,1,Desktop,UK,Crypto,Purchase,0
267,1691,77.05351972479055,60,14,2,Desktop,UK,Bank Transfer,Transfer,0
268,1112,78.12564235038431,19,13,0,Desktop,UK,Bank Transfer,Transfer,0
269,1829,98.68986919136006,49,13,4,Tablet,USA,Bank Transfer,Purchase,0
270,1496,78.26300915464941,63,2,2,Unknown,Unknown,Crypto,Transfer,0
271,1441,71.48616869291342,110,13,3,Unknown,UK,Credit Card,Purchase,0
272,1563,104.25720910767588,83,19,3,Mobile,Unknown,Credit Card,Transfer,0
273,1267,89.80091130316579,22,6,2,Tablet,USA,Crypto,Transfer,0
274,1509,160.15971954330755,24,16,4,Unknown,Unknown,Crypto,Purchase,0
275,1806,10.0,109,2,2,Tablet,India,Debit Card,Purchase,0
276,1385,143.66027407689847,76,8,4,Mobile,Unknown,Bank Transfer,Withdrawal,0
277,1386,149.84340769990516,30,17,1,Mobile,UK,Bank Transfer,Purchase,0
278,1112,17.06439070367402,58,2,2,Mobile,USA,Crypto,Purchase,0
279,1612,86.29249623678605,102,10,4,Desktop,UK,Crypto,Withdrawal,0
280,1624,85.14236536016834,117,16,2,Tablet,India,Credit Card,Purchase,0
281,1951,43.69953221128715,31,6,2,Mobile,UK,Crypto,Purchase,0
282,1080,68.88733249636499,100,2,4,Tablet,UK,Credit Card,Withdrawal,0
283,1698,55.57696618136685,64,2,4,Desktop,UK,Crypto,Purchase,0
284,1112,170.09081773694493,19,13,0,Desktop,Germany,Debit Card,Purchase,0
285,1001,137.42713572589844,48,15,2,Mobile,India,Debit Card,Withdrawal,0
286,1641,150.86220379976635,45,2,3,Mobile,UK,Credit Card,Withdrawal,0
287,1219,128.8668825617294,100,7,2,Unknown,UK,Bank Transfer,Transfer,0
288,1565,54.83792915131083,94,3,2,Tablet,UK,Debit Card,Purchase,0
289,1854,79.01918934880905,55,8,4,Mobile,USA,Credit Card,Transfer,0
290,1996,119.57498244911672,113,14,2,Unknown,Germany,Crypto,Transfer,0
291,1735,51.11488764432218,55,7,2,Tablet,USA,Crypto,Withdrawal,0
292,1224,128.51993720689552,97,7,3,Mobile,Germany,Credit Card,Purchase,0
293,1384,90.3869840736746,18,1,4,Unknown,UK,Bank Transfer,Purchase,0
294,1402,85.0071676980161,63,17,2,Unknown,India,Credit Card,Withdrawal,0
295,1637,128.43839872813965,116,9,1,Tablet,Unknown,Credit Card,Transfer,0
296,1129,117.7705324594416,113,13,0,Unknown,Unknown,Debit Card,Withdrawal,0
297,1052,85.5613533672368,92,19,3,Tablet,UK,Credit Card,Purchase,0
298,1683,146.37319213456993,47,19,2,Tablet,USA,Credit Card,Withdrawal,0
299,1729,56.757466896004104,75,17,1,Tablet,India,Crypto,Purchase,0
300,1671,124.63742427777055,57,10,2,Desktop,Germany,Debit Card,Transfer,0
301,1709,123.72405031873535,118,10,2,Unknown,UK,Crypto,Purchase,0
302,1415,87.61814242744039,45,4,4,Tablet,India,Crypto,Transfer,0
303,1246,113.04532088968472,33,8,4,Mobile,India,Bank Transfer,Transfer,0
304,1835,49.95545694458788,17,18,4,Desktop,Germany,Bank Transfer,Purchase,0
305,1438,136.96108076827605,70,14,1,Desktop,India,Debit Card,Purchase,0
306,1202,92.60391454228044,4,18,2,Unknown,USA,Debit Card,Transfer,1
307,1183,79.09107917923842,20,14,0,Tablet,USA,Bank Transfer,Withdrawal,0
308,1122,141.96036903347556,112,15,3,Unknown,USA,Bank Transfer,Purchase,0
309,1400,71.82625237828964,47,4,4,Desktop,India,Bank Transfer,Transfer,0
310,1766,43.661548145457616,91,13,4,Tablet,USA,Bank Transfer,Transfer,0
311,1293,37.73483305904385,15,8,2,Mobile,Germany,Bank Transfer,Withdrawal,0
312,1279,124.24039805382559,70,18,2,Tablet,India,Crypto,Purchase,0
313,1836,48.78282590014868,47,12,1,Desktop,Unknown,Debit Card,Transfer,0
314,1883,170.19176727937457,78,14,1,Mobile,India,Crypto,Withdrawal,0
315,1609,16.722823684651118,75,2,4,Tablet,Germany,Crypto,Transfer,0
316,1197,167.85825473160153,103,18,2,Mobile,Unknown,Credit Card,Purchase,0
317,1981,108.44069868810473,9,2,0,Mobile,India,Crypto,Withdrawal,0
318,1906,96.1314755251843,90,11,3,Desktop,USA,Bank Transfer,Transfer,0
319,1510,78.20323652764202,16,9,2,Mobile,UK,Bank Transfer,Withdrawal,0
320,1751,115.96544457408284,69,12,2,Unknown,UK,Credit Card,Purchase,0
321,1143,98.49461190300606,116,17,1,Desktop,USA,Credit Card,Withdrawal,0
322,1608,144.13207528066084,61,15,3,Unknown,UK,Credit Card,Purchase,0
323,1200,104.56910594648159,10,17,4,Mobile,UK,Credit Card,Transfer,1
324,1123,106.01207045847511,50,18,2,Unknown,USA,Credit Card,Purchase,0
325,1186,85.45551151144576,3,6,4,Tablet,USA,Crypto,Transfer,0
326,1325,97.72217505115731,77,17,2,Mobile,India,Credit Card,Transfer,0
327,1463,112.31207075568237,107,18,4,Tablet,India,Crypto,Purchase,0
328,1348,31.593264293734975,113,8,3,Unknown,USA,Debit Card,Transfer,0
329,1770,46.07258311577148,94,9,1,Tablet,Germany,Credit Card,Withdrawal,0
330,1659,129.7305637609086,118,6,3,Mobile,UK,Credit Card,Transfer,0
331,1763,106.83461752511768,109,5,0,Tablet,India,Crypto,Purchase,0
332,1954,92.64066654589283,70,12,1,Unknown,UK,Debit Card,Withdrawal,0
333,1931,100.73735732261572,81,11,3,Unknown,Unknown,Crypto,Withdrawal,0
334,1402,113.90326821446683,109,1,0,Unknown,USA,Crypto,Transfer,0
335,1345,78.40961278762555,51,11,2,Mobile,Germany,Credit Card,Transfer,0
